"filename", "language", "YAML", "JavaScript", "JSON", "Docker", "XML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/components/DdInput.test.js", "JavaScript", 0, -48, 0, 0, 0, 0, 0, 0, 0, -3, -51
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/components/draganddrop.test.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, -1, -2, -19
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/components/navbar.test.js", "JavaScript", 0, -27, 0, 0, 0, 0, 0, 0, 0, -7, -34
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/components/routebutton.test.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, 0, -4, -20
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/components/tile.test.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, 0, -4, -20
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/pages/ChatYPExpert.test.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, -1, -2, -15
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/pages/Homepage.test.js", "JavaScript", 0, -43, 0, 0, 0, 0, 0, 0, -1, -8, -52
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/pages/Request.test.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, -8, -9, -33
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/pages/UploadYP.test.js", "JavaScript", 0, -28, 0, 0, 0, 0, 0, 0, -4, -7, -39
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/DdInput.js", "JavaScript", 0, -68, 0, 0, 0, 0, 0, 0, 0, -4, -72
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/DragAndDrop.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, 0, -4, -20
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/MainTile.js", "JavaScript", 0, -14, 0, 0, 0, 0, 0, 0, 0, -3, -17
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/Navbar.js", "JavaScript", 0, -14, 0, 0, 0, 0, 0, 0, 0, -3, -17
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/RequestInChat.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -3, -15
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/RequestList.js", "JavaScript", 0, -55, 0, 0, 0, 0, 0, 0, -14, -10, -79
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/RouteButton.js", "JavaScript", 0, -11, 0, 0, 0, 0, 0, 0, 0, -2, -13
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/index.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, 0, 0, -4, -13
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/About.js", "JavaScript", 0, -36, 0, 0, 0, 0, 0, 0, -8, -9, -53
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/ChatYPExpert.js", "JavaScript", 0, -46, 0, 0, 0, 0, 0, 0, -2, -9, -57
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/ExpertRequestsList.js", "JavaScript", 0, -34, 0, 0, 0, 0, 0, 0, -1, -5, -40
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/Homepage.js", "JavaScript", 0, -36, 0, 0, 0, 0, 0, 0, 0, -7, -43
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/NavbarItem.js", "JavaScript", 0, -33, 0, 0, 0, 0, 0, 0, -1, -3, -37
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/Request.js", "JavaScript", 0, -45, 0, 0, 0, 0, 0, 0, -2, -14, -61
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/UploadYP.js", "JavaScript", 0, -67, 0, 0, 0, 0, 0, 0, 0, -10, -77
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/Dockerfile", "Docker", 0, 0, 0, 6, 0, 0, 0, 0, 2, 1, 9
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/config/db.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/config/settings.yml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/controllers/answer.controller.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 5, 5, 45
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/controllers/request.controller.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 12, 11, 118
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/controllers/user.controller.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 4, 3, 29
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/index.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 10, 14, 53
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/models/answer.model.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 1, 8, 42
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/models/request.model.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 4, 18, 110
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/models/user.model.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/package-lock.json", "JSON", 0, 0, 7116, 0, 0, 0, 0, 0, 0, 1, 7117
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/package.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/routes/answer.routes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 6, 15
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/routes/request.routes.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 6, 9, 26
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/server/routes/user.routes.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 11
"Total", "-", 1, -404, -34251, 0, -36, -41, -666, -20, -78, -228, -35723
